   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0
   1   -5.539661   -5.539661  -18.630696   11.221273  -18.744261  -26.153684  -10.388022  -21.305323
   2   -1.429597   -1.429597  -15.869018    8.823361  -19.028378  -26.074034  -10.807060  -16.696571
   3   -1.429565   -1.429565  -15.834334    8.817158  -19.021587  -26.038763  -10.807061  -16.661266
   4   -1.429534   -1.429534  -15.878041    8.816939  -19.024998  -26.086100  -10.807061  -16.708574
   5   -1.429525   -1.429525  -15.831964    8.813690  -19.026830  -26.045103  -10.807063  -16.667565
   6   -1.429518   -1.429518  -15.857837    8.817868  -19.027090  -26.067059  -10.807063  -16.689514
   7   -1.429376   -1.429376  -15.871798    8.817515  -19.031270  -26.085554  -10.806990  -16.707940
   8    3.467206    3.467206  -12.881221    6.299128  -18.413980  -24.996072  -10.521560  -11.007306
   9    3.467221    3.467221  -12.872299    6.304528  -18.414985  -24.982757  -10.521561  -10.993975
  10    3.467226    3.467226  -12.892367    6.308612  -18.417082  -25.000837  -10.521562  -11.012049
  11    3.467399    3.467399  -12.905798    6.306678  -18.414710  -25.013830  -10.521227  -11.025204
  12    3.467403    3.467403  -12.899082    6.310270  -18.414781  -25.003594  -10.521228  -11.014964
  13    3.467416    3.467416  -12.916048    6.315195  -18.418122  -25.018976  -10.521226  -11.030333
  14    6.353695    6.353695  -13.151348    6.176189  -18.766817  -25.741976  -11.345017   -8.043263
  15    6.353696    6.353696  -13.168214    6.176791  -18.766848  -25.758271  -11.345018   -8.059557
  16    6.353699    6.353699  -13.150629    6.170617  -18.766893  -25.746905  -11.345018   -8.048188
  17    7.034089    7.034089   -4.743491    3.353819  -16.745052  -18.134724   -8.688150   -2.412485
  18    7.034092    7.034092   -4.736052    3.347801  -16.744959  -18.133210   -8.688149   -2.410970
  19    7.034112    7.034112   -4.746857    3.356142  -16.746652  -18.137367   -8.688177   -2.415078
  20    7.034117    7.034117   -4.740489    3.352133  -16.744921  -18.133278   -8.688177   -2.410983
  21    7.034120    7.034120   -4.743940    3.354884  -16.744564  -18.133621   -8.688178   -2.411323
  22    7.034194    7.034194   -4.749244    3.358543  -16.744610  -18.135311   -8.688219   -2.412898
  23    8.794884    8.794884   -5.945241    4.266767  -17.435946  -19.114420   -9.894765   -0.424770
  24    8.794885    8.794885   -5.943956    4.266592  -17.437261  -19.114625   -9.894766   -0.424974
  25    8.794885    8.794885   -5.948128    4.269850  -17.436767  -19.115045   -9.894766   -0.425393
  26    9.521571    9.521571   -5.344236    3.391350  -18.690608  -20.643494  -10.828284   -0.293640
  27   14.098168   14.098168   -4.327820    2.781231  -16.789397  -18.335986   -9.947503    5.709685
  28   14.098168   14.098168   -4.330722    2.784114  -16.787224  -18.333832   -9.947503    5.711839
  29   14.266574   14.266574   -1.878482    0.810591  -15.130279  -16.198170   -7.136681    5.205085
  30   16.260198   16.260198   -4.124087    2.447743  -17.607282  -19.283626  -10.449016    7.425589
  31   16.260211   16.260211   -4.125473    2.449045  -17.596933  -19.273361  -10.449020    7.435869
  32   16.260217   16.260217   -4.125235    2.448508  -17.600063  -19.276791  -10.449023    7.432449
